"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Teaching Requirement Engineering Using Industrial-Infused Project-Based Learning","A. Intana","Prince of Songkla University, Phuket Campus,College of Computing,Phuket,Thailand","2020 5th International STEM Education Conference (iSTEM-Ed)","1 Feb 2021","2020","","","82","85","This paper reports the result of an exploratory study conducted to assess (1) the achievement of learning outcomes (LOs) and (2) the perceived effectiveness of students' learning from Industrial-Infused Project-Based Learning (II-PrBL). The experiment and evaluation were made on the Software Engineering (SE) students in second year who enrolled in the 977-271 Requirement Engineering and System Modeling (RESM) course, semester 1/2019. The result shows that the students were able to think, analyse, integrate and apply the knowledge and skills achieved from the lecture to the real practice in problem-solving based on the industrial case study. They were able to achieve the necessary LOs for the RE course in both specific (hard) and generic (soft) skills. Furthermore, this II-PrBL resulted in the high perceived effectiveness of students' learning and the strong level of satisfactory teaching.","","978-1-7281-9570-4","10.1109/iSTEM-Ed50324.2020.9332770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332770","Industrial-Infused Project-Based Learning;II-PrBL;Case-Based Learning;Industrial Problem-Based Learning","Education;Systems modeling;Requirements engineering;Problem-solving;Software engineering;STEM","computer aided instruction;computer science education;educational courses;formal specification;software engineering;systems analysis;teaching","learning outcomes;software engineering students;high perceived effectiveness;requirement engineering;teaching;industrial-infused project-based learning","","","","12","","1 Feb 2021","","","IEEE","IEEE Conferences"
"Supporting Real Demands in Software Engineering with a Four Steps Project-Based Learning Approach","L. H. Silva; R. X. Castro; M. C. Guimaraes","Federal Institute of Northern Minas Gerais, Brazil; Federal Institute of Northern Minas Gerais, Brazil; Federal Institute of Northern Minas Gerais, Brazil","2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","7 May 2021","2021","","","50","59","Project-based learning (PBL) is a student-centered and learn-by-doing approach that organizes learning around projects. While entrepreneurship and PBL in SE education are thrilling research topics, there seems to be very little work focusing on the pros and cons of involving external stakeholders to support real demands in software engineering education. Working on real projects also supports students to acquire leadership skills, such as communication, project management, and teamwork. This paper describes a case study integrating students from different Software Engineering programs and involving external stakeholders, underpinned by PBL concepts. We present how this study was designed and implemented in a large institution, in four steps, summarized as follows: (I) requirements gathering and design; (II) information system development and implementation; (III) integration tests and deployment process; (IV) support and maintenance activities. The study had the participation of 59 students from a professional technical course in step one, working in teams, and 10 undergraduate students from a Bachelor's program in Information Systems in the following steps, working in pairs. Overall, the feedback from stakeholders and students exceeded expectations, although it increased the workload of teachers. We were able to distill a new set of lessons learned, and we expect that at least some of them will be useful for anyone implementing a similar course. As a consequence of this study, we plan to institutionally formalize the PBL course improvement process by defining specific outcomes and measurements.","","978-1-6654-0138-8","10.1109/ICSE-SEET52601.2021.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402166","Project-Based Learning, PBL, Software Engineering Education, External Stakeholders","Training;Project management;Maintenance engineering;Teamwork;Stakeholders;Software engineering;Information systems","computer aided instruction;computer science education;continuing professional development;educational courses;educational institutions;further education;information systems;software engineering","project-based learning;student-centered approach;SE education;software engineering education;software engineering programs;requirement gathering;undergraduate students;PBL course improvement process;information system development;leadership skill acquisition;requirement design;information system implementation;learn-by-doing approach;integration tests;deployment process;support activity;maintenance activity;professional technical course","","1","","30","","7 May 2021","","","IEEE","IEEE Conferences"
"An Innovative Approach: Coupling Project-Based Learning and Game-Based Learning Approach in Teaching Software Engineering Course","R. Malhotra; M. Massoudi; R. Jindal","Delhi Technological University,Software Engineering Department,Delhi,India; Parwan University,Software Engineering Department,Charikar,Afghanistan; Delhi Technological University,Computer Science & Eng Department,Delhi,India","2020 IEEE International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent (TEMSMET)","6 Oct 2021","2020","","","1","5","Software Engineering Students often have a low level of motivation and lack of interest in traditional teaching methods. Project-Based Learning (PBL), coupled with Games, helps in improving student’s involvement in the project and enhance their learning experience. In this paper, the overall concept of PBL-gamification for teaching software engineering has been discussed, and it is conclusive that students can outperform in this innovative concept of gamification and PBL. There is the future scope in terms of improving PBL-Gamification so that it will merge seamlessly with conventional education pattern, thereby filling the industry-academia gap.","","978-1-6654-0482-2","10.1109/TEMSMET51618.2020.9557522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9557522","PBL;Gamification;Industry-Academia;Education","Couplings;Engineering management;Conferences;Education;Entrepreneurship;Games;Filling","computer aided instruction;computer science education;educational courses;serious games (computing);software engineering;teaching","PBL-gamification;software engineering course;software engineering students;learning experience;education pattern","","1","","19","","6 Oct 2021","","","IEEE","IEEE Conferences"
"Project-Based Learning in a Machine Learning Course with Differentiated Industrial Projects for Various Computer Science Master Programs","R. Brüngel; J. Rückert; C. M. Friedrich","Department of Computer Science, University of Applied Sciences and Arts Dortmund, 44227 Dortmund, Germany; Department of Computer Science, University of Applied Sciences and Arts Dortmund, 44227 Dortmund, Germany; Department of Computer Science, University of Applied Sciences and Arts Dortmund, 44227 Dortmund, Germany; Institute for Medical Informatics, Biometry and Epidemiology (IMIBE), University Hospital Essen, 45122 Essen, Germany","2020 IEEE 32nd Conference on Software Engineering Education and Training (CSEE&T)","14 Oct 2020","2020","","","1","5","Graduating computer science students with skills sufficient for industrial needs is a priority in higher education teaching. Project-based approaches are promising to develop practical and social skills, needed to address real-world problems in teams. However, rapid technological transition makes an initial training of contemporary methods challenging. This affects the currently much-discussed machine learning domain as well. The study at hand describes a re-framed teaching approach for a machine learning course, offered to various computer science master programs. Project-based learning is introduced with differentiated projects provided by industrial partners that address the diverse study programs. Course attendees are supported with manuals, tools, and tutoring, passing through the Cross Industry Standard Process for Data Mining (CRISP-DM). Observations made during two iterations are reported, accompanied by a first empiric evaluation of student experiences.","2377-570X","978-1-7281-6807-4","10.1109/CSEET49119.2020.9206229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206229","project-based learning;project-based teaching;industrial projects;machine learning education;graduate course","Education;Task analysis;Computer science;Machine learning;Manuals;Conferences;Software tools","computer aided instruction;computer science education;data mining;educational courses;further education;learning (artificial intelligence);teaching","CRISP-DM;industrial needs;computer science students;cross industry standard process for data mining;course attendees;diverse study programs;industrial partners;machine learning course;re-framed teaching approach;social skills;practical skills;project-based approaches;higher education teaching;computer science master programs;differentiated industrial projects;project-based learning","","1","","12","","14 Oct 2020","","","IEEE","IEEE Conferences"
"Project Exhibition In Engineering: A Case Study Of Design and Implementation Of Virtual Exhibition In First-Year Project-Based Learning Course","K. Mallibhat; N. Humbi; D. Marebal; G. Joshi; M. Kolhar","School of Electronics and Communication Engineering KLE Technological University,Hubballi,India; Centre for Engineering Education Research KLE Technological University,Hubballi,India; KLE Technological University,Department of Automation and Robotics,Hubballi,India; Karnataka State Higher Education Council,Bengaluru,India; KLE Technological University,Hubballi,India","2021 International Conference on Advanced Learning Technologies (ICALT)","2 Aug 2021","2021","","","416","418","This paper focuses on the experience of design and implementation of a virtual exhibition for exhibiting the artifacts of the project done by first-year students in a design-based and Project-Based Learning course in engineering education. The authors present the advantages and challenges faced during the design and implementation of the virtual exhibition and compare it with the physical exhibition through qualitative analysis of faculty perceptions about physical and virtual exhibitions. This paper intends to help engineering educators through a set of guidelines that help them design and implement virtual exhibitions.","2161-377X","978-1-6654-4106-3","10.1109/ICALT52272.2021.00132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499809","Project Based Learning;Virtual Exhibition;First-year engineering","Economics;Prototypes;Planning;Engineering education;Guidelines","computer aided instruction;computer science education;educational courses;engineering education;virtual reality","engineering educators;virtual exhibition;Project exhibition;first-year Project-Based Learning course;design-based;engineering education;physical exhibition","","","","18","","2 Aug 2021","","","IEEE","IEEE Conferences"
"Software Engineering Project-Based Learning in an Up-To-Date Technological Context","A. Adorjan; M. Solari","Universidad ORT Uruguay,Montevideo,Uruguay; Universidad ORT Uruguay,Montevideo,Uruguay","2021 IEEE URUCON","27 Dec 2021","2021","","","486","491","In this article we present the design and execution of a software engineering course using the Project-Based Learning (PBL) approach in an up-to-date technological context. For the development of the course, a review of the teaching-learning objectives was carried out, considering not only technical knowledge, but also transversal skills. For the selection of techniques and tools, the state of technological practice in industry was considered. Although our initial focus was on educational redesign, the course started at the same time of the COVID-19 pandemic. We found that some of the software engineering and teamwork technological platforms were also suitable for the online modality. The use of Project-Based Learning in an updated technological context allowed to increase the engagement of the students and the relationship of the learning with the professional practice. In this article we present the rationale for the course educational redesign and lessons learned regarding the interrelation of pedagogical framework and technology context from a software engineering education perspective.","","978-1-6654-2443-1","10.1109/URUCON53396.2021.9647348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647348","software engineering;education;Project-Based-Learning;technology;professional practice","Training;Runtime library;Software quality;User interfaces;Systems engineering and theory;Teamwork;Planning","computer aided instruction;computer science education;educational courses;teaching","teamwork technological platforms;course educational redesign;technology context;software engineering education perspective;software engineering course;teaching-learning objectives;technological practice;software engineering project-based learning;COVID-19 pandemic","","","","17","IEEE","27 Dec 2021","","","IEEE","IEEE Conferences"
"Design on Project-Based Learning for Analog Circuits","D. Kataria; G. Sanchez","JK Lakshmipat University,Institute of Engineering & Technology,Jaipur,India; JK Lakshmipat University,Institute of Engineering & Technology,Jaipur,India","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","4","This Work in Progress-Research to practice paper introduces the development of a Project Based Learning course on Analog Circuits. This is a six-credit course of fourteen weeks duration, designed for undergraduate students of Electrical and Electronics Engineering. This paper presents the course structure, project planning and feedback from students. The experience gained by designing and implementing this course will be used to develop improved courses for higher semesters for this batch of students. The overall objective is to help students to design Analog Circuits using discrete electronic components and simple integrated circuits and sensitize them on sustainability goals like power saving by using low power and low-cost components, optimized designs, standard practices and solutions that are useful for society. The Goals, Activities, Products and Assessment (GAPA) for the course are interlinked and logistics planning has been done before the commencement of the semester. The curriculum has been developed to cover the concepts required for developing sustainable products, and the topics discussed involve low power amplifiers, oscillators, wave shaping circuits and filters. The students registered for this course have experienced PBL in their previous semesters and have successfully completed a prerequisite course named Fundamentals of Automation Engineering. They are skilled on using the electronic test and measurement equipment, designing Printed Circuit Boards (PCB) and soldering of electronic components on the boards. Although they are granted autonomy in selecting components and circuit design, project goals are identified by the instructor and evaluation weightage assigned consciously to these goals. Activities are conducted during sessions to help students learn the concepts required for the gradually developing the project. Feedback is required from the students to compare the planned goals versus achieved goals and is analyzed for pluses and deltas. It is also used to monitor the motivation of students, to make the course more interesting for intrinsic learning.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9273954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9273954","Project Based Learning (PBL);Goals-Activities-Products- Assessments (GAPA","Software;Integrated circuit modeling;Analog circuits;Planning;Layout;Solid modeling;Printed circuits","computer aided instruction;educational courses;electronic engineering computing;electronic engineering education;printed circuits","project goals;planned goals;achieved goals;intrinsic learning;six-credit course;fourteen weeks duration;undergraduate students;electronics engineering;course structure;project planning;designing implementing;improved courses;higher semesters;analog circuits;discrete electronic components;simple integrated circuits;sustainability goals;low-cost components;standard practices;logistics planning;semester;sustainable products;low power amplifiers;wave shaping circuits;previous semesters;prerequisite course;automation engineering;electronic test;measurement equipment;soldering;circuit design;progress-research;printed circuit boards;PCB;PBL","","","","6","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Experiencing the Sheffield Team Software Project: A project-based learning approach to teaching Agile","O. Olayinka; M. Stannett","The University of Sheffield,Department of Computer Science,Sheffield,United Kingdom; The University of Sheffield,Department of Computer Science,Sheffield,United Kingdom","2020 IEEE Global Engineering Education Conference (EDUCON)","25 Jun 2020","2020","","","1299","1305","Graduates of computer science and software engineering degrees are often expected by employers to possess various technical skills as well as competencies in project management, testing, teamwork, and other soft skills. Extant literature has identified that these competencies are often not addressed by traditional teaching approaches such as lectures and labs. In this paper, we present a project-based learning approach to teaching agile software development where students work in multicultural teams to develop software for clients. This approach to teaching software development addresses some of the competencies required by employers, and the feedback from students, clients, and tutors are discussed and analysed critically.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125175","Project-based learning;Agile;Teamwork;Software development;Scrum framework","Knowledge engineering;Education;Project management;Software;Reflection;Teamwork;Problem-solving","computer science education;educational courses;project management;software engineering;teaching","multicultural teams;sheffield team software project;computer science;software engineering degrees;technical skills;project management;soft skills;agile software development teaching;project-based learning","","","","35","","25 Jun 2020","","","IEEE","IEEE Conferences"
"Analyzing Learning Outcomes for a Massive Online Competition through a Project-Based Learning Engagement","A. Panwar; A. Chauhan; K. Arya","Indian Institute of Technology Bombay,Computer Science & Engineering Department,Mumbai,India; Bharati Vidyapeeth’s College of Engineering,Computer Science Department,New Delhi,India; Indian Institute of Technology Bombay,Computer Science & Engineering Department,Mumbai,India","2020 IEEE Global Engineering Education Conference (EDUCON)","25 Jun 2020","2020","","","1246","1251","The e-Yantra project at premier technical institute in India – Indian Institute of Technology Bombay, conducts a massive Online Robotics Competition known as e-Yantra Robotics Competition annually, with the objective to develop ground-breaking digital pedagogy to indulge students in the domain of Robotics and Embedded Systems through hands-on practical medium of Project Based Learning (PBL). The students work in collaboration as a team of four from varying years and disciplines of engineering and implement a 'Theme' - a gamified robotics problem statement over the course of six months. Previous studies of e-Yantra competition have shown that the competition has been successful in teaching students new and high-level concepts of embedded systems and robotics in effective manner through a learning by competing approach. Over the course of various editions of the competitions, e-Yantra has collected a huge corpus of participants and their respective performances in the competition. This paper analyzes and discusses the outcomes of the data collected over a three-year period (2016-2018) and draws inferences from it. It successfully demonstrates that students in an online Project Based Learning environment receive a functional upgrade in the knowledge of robotics. While most project based learning studies have generally been restricted to a rather small sample size, this is one of the few quantitative study that deals with a large number of students who are not in a classroom environment. This approach also facilitates cooperative and collaborative learning in addition, it further encourages and develops intra-personal and inter-personal skills. A key recommendation of the study is to make Project Based Learning competitions like e-Yantra to be more ingrained in the college curriculum. Such competitions can be introduced in universities with incentives such as extra credits and certifications and hence will enable active participation of students in the engineering studies.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125379","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125379","project based learning;data analysis;online education;robotics;online competition","Embedded systems;Conferences;Collaboration;Collaborative work;Engineering education;Robots;Certification","computer aided instruction;control engineering computing;control engineering education;educational courses;embedded systems;Internet;robots;teaching","e-Yantra Robotics Competition;digital pedagogy;hands-on practical medium;gamified robotics problem statement;e-Yantra competition;embedded systems;collaborative learning;engineering studies;e-Yantra project;premier technical institute;Indian Institute of Technology Bombay;learning outcome analysis;project-based learning engagement;massive online competition;learning competitions;online project based learning environment;massive online robotics competition;cooperative learning;intrapersonal skills;interpersonal skills","","3","","16","","25 Jun 2020","","","IEEE","IEEE Conferences"
"Formative and Summative Assessment in University Programming Course: Mediation of Problem-Based Learning and Moderation of Peer Evaluation","Y. Guo; H. Zhao; K. Wang; M. Li","Nankai University,College of Computer Science,Tianjin,China; Nankai University,College of Computer Science,Tianjin,China; Nankai University,College of Computer Science,Tianjin,China; Nankai University,College of Computer Science,Tianjin,China","2020 15th International Conference on Computer Science & Education (ICCSE)","22 Sep 2020","2020","","","112","117","This study contributed to our understanding of the mediating and moderating process through which students' formative assessment was related to summative assessment results. A moderated mediation model was developed and tested in the context of a problem-based learning (PBL) programming course, in which formative assessment were classified as general performance, PBL performance and peer evaluation. We proposed that the effect of students' general performance on summative assessment is mediated by their performance in PBL project, and the indirect effect of general performance on summative assessment is moderated by peer evaluation. Overall, data from 74 students enrolled in the PBL programming course were collected and the hypothesized model was supported. Furthermore, implications for practice and directions for future research were discussed.","2473-9464","978-1-7281-7267-5","10.1109/ICCSE49874.2020.9201837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201837","Conditional process analysis;formative assessment;problem-based learning;peer evaluation","Mediation;Programming profession;Games;Computational modeling;Education","computer aided instruction;computer science education;educational courses;educational institutions;programming","PBL programming course;university programming course;general performance;PBL performance;PBL project;students formative assessment;students summative assessment;problem-based learning mediation;peer evaluation moderation","","1","","19","","22 Sep 2020","","","IEEE","IEEE Conferences"
