Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Rijal M., Mastuti A.G., Safitri D., Bachtiar S., Samputri S.","57190255718;57404480000;57511670800;57201482446;57404811900;","Differences in learners’ critical thinking by ability level in conventional, NHT, PBL, and integrated NHT-PBL classrooms",2021,"International Journal of Evaluation and Research in Education","10","4",,"1133","1139",,,"10.11591/IJERE.V10I4.21408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122499553&doi=10.11591%2fIJERE.V10I4.21408&partnerID=40&md5=3b3c83a6fc79f520219a85df3e03340b","This study aimed to analyze the effect of conventional, Problem-Based Learning (PBL), Numbered-Head Together (NHT), and integrated PBL-NHT learning models on the low-and high-ability students’ critical thinking. This quasi-experimental study used a pretest-post-test nonequivalent control group design with a four-by-two factorial pattern. The analysis results showed that learners’ critical thinking was impacted by learning models implemented in the classroom and influenced by the interaction between the learning models and learners’ academic abilities. There was no difference in critical thinking among low-ability students who were taught with PBL, conventional, and integrated PBL-NHT, but a difference was found in students taught using NHT. There was no difference in critical thinking between high-ability students taught with conventional and NHT instruction, but there was a difference between students taught with PBL and integrated PBL-NHT instruction. To foster critical thinking, pupils with low academic ability should be taught using NHT, whereas those with high academic ability should be taught using PBL or an integrated PBL-NHT approach. © 2021, Institute of Advanced Engineering and Science. All rights reserved.","Institute of Advanced Engineering and Science",22528822,,,"Int. J. Eval. Res. Educ.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122499553
"Kumar J.A.","57201424499;","Educational chatbots for project-based learning: investigating learning outcomes for a team-based design course",2021,"International Journal of Educational Technology in Higher Education","18","1","65","","",,,"10.1186/s41239-021-00302-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121298226&doi=10.1186%2fs41239-021-00302-w&partnerID=40&md5=08c6f4cbb780fdcdbf473b417266c6a1","Educational chatbots (ECs) are chatbots designed for pedagogical purposes and are viewed as an Internet of Things (IoT) interface that could revolutionize teaching and learning. These chatbots are strategized to provide personalized learning through the concept of a virtual assistant that replicates humanized conversation. Nevertheless, in the education paradigm, ECs are still novel with challenges in facilitating, deploying, designing, and integrating it as an effective pedagogical tool across multiple fields, and one such area is project-based learning. Therefore, the present study investigates how integrating ECs to facilitate team-based projects for a design course could influence learning outcomes. Based on a mixed-method quasi-experimental approach, ECs were found to improve learning performance and teamwork with a practical impact. Moreover, it was found that ECs facilitated collaboration among team members that indirectly influenced their ability to perform as a team. Nevertheless, affective-motivational learning outcomes such as perception of learning, need for cognition, motivation, and creative self-efficacy were not influenced by ECs. Henceforth, this study aims to add to the current body of knowledge on the design and development of EC by introducing a new collective design strategy and its pedagogical and practical implications. © 2021, The Author(s).","Springer Science and Business Media Deutschland GmbH",23659440,,,"Int. j. educ. technol. high. educ.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85121298226
"Usher M., Barak M., Haick H.","57197728864;7006694205;6603256731;","Online vs. on-campus higher education: Exploring innovation in students' self-reports and students' learning products",2021,"Thinking Skills and Creativity","42",,"100965","","",,1,"10.1016/j.tsc.2021.100965","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118728307&doi=10.1016%2fj.tsc.2021.100965&partnerID=40&md5=11c17e5ad09b71c888fdf448549aa349","Innovation is an essential competency in the 21st century workplace, and hence, a required skill for higher education students. Studies on innovation in higher education examined the way students perceive themselves as innovators, while others examined the level of innovation in learning products. Research has yet to address the association between innovation as expressed in students' self-reports and in students' learning products. Moreover, since due to the COVID-19 outbreak, many faculties rely primarily on online platforms to deliver courses, there is a growing need to identify students’ innovation in online learning environments. This study aimed to examine higher education students' innovation as expressed in their self-reports and in their learning products, while comparing two formats of the same engineering course: an on-campus synchronous face-to-face (F2F) course, and a fully online asynchronous course. The participants were divided into two groups: F2F students (n = 103), and online students (n = 108). Applying the quasi-experimental design, data were collected via a pre- and post-questionnaire, and students' mean scores on the innovation level of their learning products. Findings indicated that both F2F and online students self-reported similar levels of innovative behavioral tendencies. Yet, the F2F students received higher mean scores on innovation, compared with the online students, in both individual assignments and team projects. We conclude by suggesting guidelines to better promote students’ innovation in higher education courses delivered online. © 2021","Elsevier Ltd",18711871,,,"Think. Skills Creat.",Article,"Final","",Scopus,2-s2.0-85118728307
"Wang W., Coutras C., Zhu M.","57201554862;6506637247;55650916200;","Empowering computing students with proficiency in robotics via situated learning",2021,"Smart Learning Environments","8","1","24","","",,,"10.1186/s40561-021-00167-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117613318&doi=10.1186%2fs40561-021-00167-6&partnerID=40&md5=9e8862fca7f05e0e8c23f2ff366a5179","With the increasing employment of robots in multiple areas such as smart manufacturing and intelligent transportation, both undergraduate and graduate students from computing related majors (e.g., computer science and information technology) demonstrated strong interests in learning robotics technology to broaden their career opportunities. However, instilling computing students with robotics knowledge remains a challenge since most of them have limited pre-training in engineering subjects such as electronics and mechatronics. Therefore, robotics education for computing students demands an immersive real-world learning environment by considering both theories and intensive hands-on projects. Different from traditional textbook-directed robotics learning, in this study, a situated learning-based robotics education pedagogy is proposed for computing students to equip them with robotics expertise and foster their problem-solving skills in real-world human–robot interaction contexts. To create a realistic human–robot collaboration situation, a multi-modal collaborative robot is employed in the classroom-based learning community for the whole semester. Mini-project-based homework and team projects are designed for students to practice their critical thinking and hands-on experiences. The bidirectional-evaluation approach is utilized by the instructor and students to assess the quality of the proposed pedagogy. Practice results and student evaluations suggested that the proposed situated learning-based pedagogy and robotics curriculum provided computing students to learn robotics in an effective way, which was well recognized and accepted by students even most of them were beginners. Future work of this study is also discussed. © 2021, The Author(s).","Springer",21967091,,,"Smart Learn. Environ.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85117613318
"Younis A.A., Sunderraman R., Metzler M., Bourgeois A.G.","56115098000;6701870108;8982505500;35407153300;","Developing parallel programming and soft skills: A project based learning approach",2021,"Journal of Parallel and Distributed Computing","158",,,"151","163",,,"10.1016/j.jpdc.2021.07.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113977782&doi=10.1016%2fj.jpdc.2021.07.015&partnerID=40&md5=564ad1cf61c7558845e3273e731e021d","Upon graduation, a computer science student should have a good understanding of the current technology and have the soft skills necessary to secure a position in industry. Considering that typical computers and even the common smartphone are multicore, students should be skilled in parallel programming. Integrating parallel programming and soft skills within courses can help educate students on these essential skills. Our goal is to explore the effectiveness of using Project Based Learning (PBL) to teach these skills when classes are at content capacity. We divide 247 students into 51 diverse groups and assigned five projects, each of two-week duration. We use pre- and post-surveys to measure growth and found that incorporating PBL has a significant effect on the students' parallel programming and soft skills. We show that through teamwork, students collaboratively learn and apply fundamental parallel programming and soft skills without direct guidance, thus demonstrating the effectiveness of PBL. The implementation was conducted in a course that does not traditionally teach parallel programming concepts, but with the use of a PBL approach, students were able to acquire this new knowledge. © 2021 Elsevier Inc.","Academic Press Inc.",07437315,,JPDCE,"J. Parallel Distrib. Comput.",Article,"Final","",Scopus,2-s2.0-85113977782
"Suárez F., Mosquera-Feijóo J.C., Chiyón I., Alberti M.G.","39362399900;57323909900;55129210900;56035921700;","Flipped learning in engineering modules is more than watching videos: The development of personal and professional skills",2021,"Sustainability (Switzerland)","13","21","12290","","",,1,"10.3390/su132112290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118545643&doi=10.3390%2fsu132112290&partnerID=40&md5=1fa17511023bb13c6c2cec11c40294f8","The Accreditation Board for Engineering and Technology (ABET) has highlighted two key outcomes for students of all accredited engineering programs: the ability to communicate effectively with a range of audiences and the capacity to acquire and apply new knowledge as needed, using appropriate learning strategies. Likewise, in recent years, written exams, assignments, and oral presentations show transmission-skill deficiencies among engineering students. Flipped teaching serves to boost students to meet these outcomes and other competencies: comprehension reading, communication skills, character building, collaborative work, critical thinking, or creativity. So, flipped learning is more than watching videos. This research proposes two evidence-based transferable learning strategies built on a flipped-teaching model and was applied by the authors in engineering courses during the second year of the global pandemic caused by COVID-19: problem-based learning and teamwork assignments. The study comprised two phases. First, a systematic review of reports, writings, and exams delivered by students. It included some video-watching analytics to detect misuse. In the second stage, the authors ascertained trends of these outcomes. Student perceptions and other achievement indicators illustrate the possibilities for encouraging learners to achieve transmission, communication, and literacy outcomes. Results indicate that these learner-centered approaches may help students learn better, comprehend, apply, and transmit knowledge. But they require an institutional commitment to implementing proactive instruction techniques that emphasize the importance of student communication skills. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI",20711050,,,"Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118545643
"Adiego J., Martín-Cruz N.","6508066185;55995541800;","Training competences in smart cities: an online program for higher education students",2021,"International Journal of Sustainability in Higher Education","22","7",,"1630","1645",,,"10.1108/IJSHE-08-2020-0307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108661087&doi=10.1108%2fIJSHE-08-2020-0307&partnerID=40&md5=30b01df111b7924a44d457b6e2a0d386","Purpose: This paper aims to explain the development of an online training curriculum to enable students to acquire the transversal competences needed to work on smart cities projects. In this curriculum, a modern approach to the teaching-learning process was applied, suitable for the interdisciplinary and multinational learning challenges that smart cities impose, but within the framework of a university-industry European partnership. Design/methodology/approach: To develop the curriculum, the competences needed for smart cities, common to all disciplines and fields, had to be researched. In addition, real smart cities projects also had to be selected for work following a project-based learning methodology. For both, this study applied the Delphi method, selecting the most relevant ones based on the data obtained by performing a multi-criteria decision analysis. Findings: The procedure followed for the identification of transversal competences in a field, the design of an innovative online training program and the results of the first edition of the program are discussed. Research limitations/implications: The processes that were developed, both to detect the most relevant transversal competences and to design the online training program, could be extrapolated to other areas. Moreover, it is very likely that the competences detected in this work could also be extrapolated, for the most part, to interdisciplinary teams. Originality/value: To date, there is no European initiative addressing the challenges of smart cities that requires a major adjustment in higher education, in the relationship between universities and all the mechanisms of lifelong learning with the industry related to smart cities. This work is a pioneer in this regard. © 2021, Emerald Publishing Limited.","Emerald Group Holdings Ltd.",14676370,,,"Int. J. Sustain. High. Educ.",Article,"Final","",Scopus,2-s2.0-85108661087
"Lai C.-L.","56447570500;","Effects of the group-regulation promotion approach on students’ individual and collaborative learning performance, perceptions of regulation and regulation behaviours in project-based tasks",2021,"British Journal of Educational Technology","52","6",,"2278","2298",,,"10.1111/bjet.13138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107605080&doi=10.1111%2fbjet.13138&partnerID=40&md5=468da9ec665b3db80ab2bb8b0ef443e1","Group regulation has been recognised as an important factor affecting students' performances in project-based learning. However, students often experience unsuccessful project outcomes due to several factors, such as unfocused negotiation and lack of project monitoring. In this study, a group regulation promotion approach was developed. The proposed approach consisted of a group-regulated learning module that allows students to set learning goals, divide work and adjust their learning progress. There is also a platform for students to share their learning goals, observe others’ work and discuss with their peers. To evaluate the effectiveness of the proposed approach, a 6-month experiment was conducted in a higher education context. A total of 50 undergraduate students aged 19–20 years old participated in this research. One class assigned as the experimental group learned with the proposed approach, whereas the other class assigned as the control group learned with the collaborative project-based learning approach. The results revealed that the proposed approach benefited the students’ group learning performance, individual learning performance and their perception of group regulation. In addition, students who learned through the promotion mechanism showed more active learning behaviours. In sum, the integration of the group regulation promotion approach can be an effective means of enhancing students’ learning performance. Practitioner notes What is already known about this topic Collaborative project-based learning has been regarded as a comprehensive approach for teaching and learning. Technologies benefit students by facilitating online and offline collaborative project-based learning. Group regulation has been recognized as an important and challenging factor affecting students' performances in project-based learning. What this paper adds A group regulation promotion approach was developed to encourage students to engage in continuous group regulation with their peers. A group-regulated learning module was provided to help students set learning goals, divide work, and adjust their learning progress. A sharing platform was developed to assist student in sharing their learning goals, observing others' work, and discussing with their peers. The proposed approach promoted the students’ group learning performance, their individual learning performance, and active regulated learning behaviors. Implications for practice and/or policy The group regulation promotion approach is a potential strategy for implementing collaborative learning activities, especially for improving students’ active regulated learning behaviors. It is worth deeply investigating students’ regulated learning behaviors in collaborative learning activities. © 2021 British Educational Research Association","John Wiley and Sons Inc",00071013,,BJETD,"Br J Educ Technol",Article,"Final","",Scopus,2-s2.0-85107605080
"Salankar N., Koundal D., Hu Y.-C.","57193865640;55446289500;24449408900;","Impact on the personality of engineering students based on project-based learning",2021,"Computer Applications in Engineering Education","29","6",,"1602","1616",,,"10.1002/cae.22412","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103208016&doi=10.1002%2fcae.22412&partnerID=40&md5=69e73d263f04359de64c5499b72e947d","In an engineering study, the project/knowledge application module has a great weightage where students get an opportunity for the application of knowledge. Project evaluation consists of the following phases: documentation, presentation, teamwork, and leadership. This study has used the entire duration of the project assessment process for the evaluation of personality changes along with the academic assessment for the duration of 2 years. The intervention used for the evaluation is strongly correlated with five factors (openness, conscientiousness, extraversion, agreeableness, and neuroticism) of the OCEAN model. Statistical and descriptive tests are used for the assessment of the relationship of interventions on academic performance, personality development, and placement activity with 95% confidence. The survey has been conducted at the end of 2 years to validate the obtained results on the basis of interventions. From the results, it has been found that students can actually work upon personality enhancement till the 7th semester whereas the improvement in learning and analytical skills is a continuous process and the students in the 8th semester have shown significant variation in these two assessed parameters. Thus, the proposed intervention approach is an appropriate tool, which helps students to improve their personality at five factors of the OCEAN model results in 360° enhancement in the personality along with academic performance. © 2021 Wiley Periodicals LLC","John Wiley and Sons Inc",10613773,,CAPEE,"Comput Appl Eng Educ",Article,"Final","",Scopus,2-s2.0-85103208016
"R. Alves G., Marques A., Bento Da Silva J.","57221919939;37077635300;57211537470;","Lab-based Education",2021,"ACM International Conference Proceeding Series",,,,"533","535",,,"10.1145/3486011.3486510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122108130&doi=10.1145%2f3486011.3486510&partnerID=40&md5=56ec8e86f6324414fe9d1f99fad1ca45","Lab-based education plays an important role for students adopting science and technology-based careers. The sudden transition to a distance learning environment due to the COVID-19 pandemic and how teachers have tackled with providing lab-based teaching while trying to improve students' engagement and motivation, is the focus of the presented works. A good diversification of teaching approaches such as PBL, teamwork, gamification or the integration of complementary resources is presented. Additionally, the VISIR+ project is also addressed in the context of a study on Brazil's Educational reality, related to Engineering Education. The VISIR remote lab is also presented as a versatile tool, to be used in several subject areas, other than electronic and electrical circuits. © 2021 Owner/Author.","Association for Computing Machinery",,9781450390668,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85122108130
